base_currency,datetime,rate
BIF,2015-7,0.000621
BIF,2015-6,0.000638
BIF,2015-5,0.00064
BIF,2015-4,0.000641
BIF,2015-3,0.00064
BIF,2015-2,0.00064
BIF,2015-1,0.00064
BIF,2014-12,0.000641
BIF,2014-11,0.00064
BIF,2014-10,0.000641
BIF,2014-9,0.000646
BIF,2014-8,0.000646
BIF,2014-7,0.000646
BIF,2014-6,0.000647
BIF,2014-5,0.000647
BIF,2014-4,0.000646
BIF,2014-3,0.000644
BIF,2014-2,0.000644
BIF,2014-1,0.000644
BIF,2013-12,0.000646
BIF,2013-11,0.000646
BIF,2013-10,0.000648
BIF,2013-9,0.000651
BIF,2013-8,0.000651
BIF,2013-7,0.000646
BIF,2013-6,0.000642
BIF,2013-5,0.0006360000000000001
BIF,2013-4,0.0006360000000000001
BIF,2013-3,0.000644
BIF,2013-2,0.000638
BIF,2013-1,0.0006580000000000001
BIF,2012-12,0.000656
BIF,2012-11,0.000668
BIF,2012-10,0.000674
BIF,2012-9,0.000686
BIF,2012-8,0.0006940000000000001
BIF,2012-7,0.0007
BIF,2012-6,0.0007070000000000001
BIF,2012-5,0.000714
BIF,2012-4,0.000732
BIF,2012-3,0.0007650000000000001
BIF,2012-2,0.0007650000000000001
BIF,2012-1,0.0007599999999999999
BIF,2011-12,0.000766
BIF,2011-11,0.0008060000000000001
BIF,2011-10,0.0008119999999999999
BIF,2011-9,0.00081
BIF,2011-8,0.0008119999999999999
BIF,2011-7,0.0008119999999999999
BIF,2011-6,0.0008119999999999999
BIF,2011-5,0.000813
BIF,2011-4,0.000814
BIF,2011-3,0.000811
BIF,2011-2,0.000813
BIF,2011-1,0.000816
BIF,2010-12,0.000813
BIF,2010-11,0.0008119999999999999
BIF,2010-10,0.0008150000000000001
BIF,2010-9,0.000816
BIF,2010-8,0.000816
BIF,2010-7,0.0008150000000000001
BIF,2010-6,0.0008119999999999999
BIF,2010-5,0.0008119999999999999
BIF,2010-4,0.000813
BIF,2010-3,0.000816
BIF,2010-2,0.000816
BIF,2010-1,0.000808
BIF,2009-12,0.0008060000000000001
BIF,2009-11,0.000816
BIF,2009-10,0.000814
BIF,2009-9,0.0008119999999999999
BIF,2009-8,0.0008179999999999999
BIF,2009-7,0.0008230000000000001
BIF,2009-6,0.000824
BIF,2009-5,0.000826
BIF,2009-4,0.000822
BIF,2009-3,0.000824
BIF,2009-2,0.000826
BIF,2009-1,0.0008210000000000001
BIF,2008-12,0.000824
BIF,2008-11,0.000833
BIF,2008-10,0.000851
BIF,2008-9,0.00086
BIF,2008-8,0.000852
BIF,2008-7,0.000851
BIF,2008-6,0.0008460000000000001
BIF,2008-5,0.000851
BIF,2008-4,0.0008539999999999999
BIF,2008-3,0.0008539999999999999
BIF,2008-2,0.0008699999999999999
BIF,2008-1,0.0008789999999999999
BIF,2007-12,0.0008820000000000002
BIF,2007-11,0.00088
